product_id,product_name,category_id,category_name,subcategory_name,brand,sku,unit_price,cost_price,weight_kg,is_active,launch_date,gross_margin_pct
PROD-24D1B9CC,ReadMore Decor Model-155,CAT-010,Home & Garden,Decor,Homeplus,SKU-259988,1590.86,949.52,19.34,True,2021-07-12,40.31
PROD-B8B3A002,EcoLife Kitchen Model-323,CAT-009,Home & Garden,Kitchen,Luxbrand,SKU-584415,351.42,161.19,21.84,True,2021-12-02,54.13
PROD-3A0FEE1F,QuickFit Kids Model-894,CAT-007,Clothing,Kids,Natureco,SKU-815429,1925.79,1055.16,8.84,True,2024-05-09,45.21
PROD-6A196176,NatureCo Fiction Model-747,CAT-013,Books,Fiction,Natureco,SKU-975602,623.66,398.0,21.68,True,2021-11-12,36.18
PROD-6CA464CB,EcoLife Furniture Model-759,CAT-008,Home & Garden,Furniture,Trendset,SKU-432196,585.63,333.83,23.8,True,2021-09-12,43.0
PROD-FE86532C,TechPro Laptops Model-868,CAT-002,Electronics,Laptops,Gadgethub,SKU-573438,1646.69,872.18,12.24,True,2021-06-15,47.03
PROD-433AE6BC,SportZen Tablets Model-901,CAT-003,Electronics,Tablets,Ecolife,SKU-669711,659.9,423.57,5.82,False,2023-07-30,35.81
PROD-E45BFEB5,HomePlus Kids Model-675,CAT-007,Clothing,Kids,Readmore,SKU-332254,1370.13,514.01,2.9,True,2020-04-26,62.48
PROD-BF5CF42D,LuxBrand Furniture Model-119,CAT-008,Home & Garden,Furniture,Techpro,SKU-890209,245.85,156.24,21.63,False,2019-07-28,36.45
PROD-5DCE2E3F,StyleCo Educational Model-765,CAT-017,Toys,Educational,Styleco,SKU-317775,1954.31,792.18,4.76,False,2019-10-15,59.46
PROD-6E797DFD,LuxBrand Kitchen Model-786,CAT-009,Home & Garden,Kitchen,Ecolife,SKU-775545,283.04,193.26,6.75,True,2019-03-11,31.72
PROD-C8AFAD52,AutoParts Smartphones Model-840,CAT-001,Electronics,Smartphones,Sportzen,SKU-104007,659.63,395.06,8.74,True,2021-07-01,40.11
PROD-0FAC2855,HomePlus Furniture Model-542,CAT-008,Home & Garden,Furniture,Autoparts,SKU-939318,1441.43,923.73,10.78,False,2022-11-02,35.92
PROD-09BA9728,ReadMore Action Figures Model-914,CAT-018,Toys,Action Figures,Quickfit,SKU-986287,1619.53,794.96,22.32,True,2020-12-13,50.91
PROD-C3195557,EcoLife Action Figures Model-111,CAT-018,Toys,Action Figures,Styleco,SKU-621336,1935.53,911.28,13.36,True,2021-08-05,52.92
PROD-B955A957,NatureCo Educational Model-671,CAT-017,Toys,Educational,Styleco,SKU-529308,1885.53,1302.03,16.18,True,2021-12-22,30.95
PROD-40134830,KidsWorld Men's Wear Model-905,CAT-005,Clothing,Men's Wear,Gadgethub,SKU-905776,1735.18,725.53,24.07,True,2018-06-25,58.19
PROD-29D7E411,GadgetHub Smartphones Model-523,CAT-001,Electronics,Smartphones,Gadgethub,SKU-720551,1960.7,919.44,16.6,True,2023-10-15,53.11
PROD-B158D452,StyleCo Laptops Model-665,CAT-002,Electronics,Laptops,Autoparts,SKU-943759,1780.44,1084.03,22.67,True,2019-09-29,39.11
PROD-EA0551D9,KidsWorld Outdoor Model-103,CAT-011,Sports,Outdoor,Autoparts,SKU-949103,1246.29,706.35,12.41,True,2024-05-22,43.32
PROD-E595B250,ValuePick Smartphones Model-468,CAT-001,Electronics,Smartphones,Ecolife,SKU-128513,457.28,268.06,6.65,True,2021-03-18,41.38
PROD-62494C76,HomePlus Skincare Model-434,CAT-015,Beauty,Skincare,Luxbrand,SKU-558944,286.42,159.02,10.47,True,2020-02-17,44.48
PROD-43561247,ReadMore Non-Fiction Model-373,CAT-014,Books,Non-Fiction,Sportzen,SKU-594328,1301.27,696.39,2.88,True,2019-12-19,46.48
PROD-92DE086C,KidsWorld Tablets Model-326,CAT-003,Electronics,Tablets,Styleco,SKU-453158,1573.11,726.9,12.65,True,2020-08-08,53.79
PROD-3E378383,EcoLife Fitness Model-489,CAT-012,Sports,Fitness,Trendset,SKU-352965,168.79,68.55,11.99,True,2019-04-22,59.39
PROD-091CE283,ReadMore Non-Fiction Model-380,CAT-014,Books,Non-Fiction,Valuepick,SKU-547900,996.72,567.22,13.36,True,2020-04-12,43.09
PROD-07490DA5,GlowUp Smartphones Model-329,CAT-001,Electronics,Smartphones,Readmore,SKU-903647,167.5,106.85,11.78,True,2023-11-17,36.21
PROD-D9033170,QuickFit Makeup Model-330,CAT-016,Beauty,Makeup,Homeplus,SKU-395996,774.58,359.7,11.58,False,2023-11-21,53.56
PROD-E4C3CC81,ReadMore Accessories Model-678,CAT-004,Electronics,Accessories,Ecolife,SKU-557434,1587.51,910.83,23.29,True,2020-09-04,42.63
PROD-A0487D5A,QuickFit Smartphones Model-873,CAT-001,Electronics,Smartphones,Trendset,SKU-936248,295.43,191.51,12.93,False,2021-09-01,35.18
PROD-0FF7EB11,AutoParts Parts Model-804,CAT-020,Automotive,Parts,Homeplus,SKU-914700,833.55,421.16,19.74,True,2020-09-07,49.47
PROD-6C137568,KidsWorld Accessories Model-783,CAT-004,Electronics,Accessories,Luxbrand,SKU-846117,1503.14,978.05,8.07,True,2021-05-29,34.93
PROD-8EB5B176,ReadMore Makeup Model-869,CAT-016,Beauty,Makeup,Glowup,SKU-959412,1392.23,589.21,13.98,True,2021-12-23,57.68
PROD-ED65B026,LuxBrand Tablets Model-475,CAT-003,Electronics,Tablets,Valuepick,SKU-995466,1202.37,836.79,17.84,False,2022-04-23,30.4
